Id,SalePrice
1461,147622.46228239714
1462,170916.029290482
1463,171095.8377720903
1464,190350.41792999508
1465,199770.90385844023
1466,173554.33186585232
1467,212859.95632532498
1468,174360.05513510382
1469,202421.3881653554
1470,145798.76467007273
1471,191575.5007461251
1472,118929.912030564
1473,116499.64027345483
1474,154313.82211311895
1475,148272.5975331015
1476,282074.23633528233
1477,280856.0012849716
1478,296143.4703226672
1479,291310.9321426124
1480,372099.6693153641
1481,271623.66699204326
1482,228837.64088171127
1483,231223.1073296807
1484,206314.58705636437
1485,151044.31960856178
1486,185683.94119760746
1487,268579.7747562059
1488,277629.97541482735
1489,228792.70134303754
1490,205007.08725633277
1491,191364.29587504675
1492,122412.65937668686
1493,201990.54485426037
1494,217815.87939081044
1495,222391.8817062632
1496,197475.16804427296
1497,181130.91663772188
1498,155563.99987503068
1499,147748.4437038587
1500,155859.00094997897
1501,199672.45240670312
1502,153806.7994532853
1503,242255.65993649513
1504,185807.93153583177
1505,222174.6278680963
1506,239591.93987751353
1507,191122.81759623607
1508,182711.61035493005
1509,162307.3021208669
1510,179021.70017898164
1511,164982.34672160703
1512,210573.02620458818
1513,147971.79692307994
1514,184079.7045638382
1515,222089.47355448868
1516,170751.27063754498
1517,195475.88584271516
1518,212807.2476811237
1519,230488.91442929837
1520,137870.79262977486
1521,146758.31233104173
1522,189083.4636221655
1523,128875.5519513966
1524,150280.08497953363
1525,147251.55513018707
1526,129397.51854611022
1527,165152.7294308424
1528,164436.861497964
1529,170517.93825474268
1530,219771.0723092497
1531,130116.79218457674
1532,108799.28119696857
1533,182665.72755033724
1534,157410.10523350388
1535,163942.4007822013
1536,140742.95436294662
1537,102186.3250147707
1538,176854.782383607
1539,167699.73350426505
1540,79577.30101367633
1541,161263.1834659612
1542,146749.3078649013
1543,167638.0415961353
1544,125745.12926193223
1545,111537.037650439
1546,129246.70842498573
1547,129703.82621962557
1548,136332.27249133392
1549,144599.79496717552
1550,128392.87290590777
1551,108692.40263117306
1552,134272.28312043048
1553,143856.6612967701
1554,145072.8259197267
1555,176948.076456329
1556,77856.61970626564
1557,81123.35422603974
1558,93178.07522947236
1559,36686.03647231858
1560,132337.03401067993
1561,159864.63145058224
1562,166239.95767345704
1563,125421.8874512974
1564,172450.86786334377
1565,135536.06070438825
1566,224925.07586127508
1567,117620.87716487693
1568,181351.70514211885
1569,126860.22489734709
1570,151385.31477162376
1571,302840.94738503906
1572,176674.83257906543
1573,208576.01304083448
1574,166531.26042196972
1575,192591.2796368557
1576,237352.8740332038
1577,224989.75912872993
1578,168253.17591071842
1579,168470.28792791354
1580,175477.9207747872
1581,183438.22733500827
1582,164852.71078092046
1583,268393.732857812
1584,203063.94847571207
1585,174203.16765883134
1586,108099.27454551127
1587,124607.90262103773
1588,156108.98418115664
1589,141899.39615675717
1590,159689.41994587515
1591,122436.67882525138
1592,173154.08382961812
1593,145095.99977326964
1594,88534.65542167002
1595,64530.35901749747
1596,188363.5806052242
1597,193773.38085907584
1598,171356.86979557652
1599,175946.7060224362
1600,194346.24214103338
1601,81517.87591957064
1602,104644.06898169014
1603,127178.72600467557
1604,214945.26448364244
1605,204477.08480319232
1606,208448.66016031944
1607,259519.85507991875
1608,250912.5524144817
1609,222045.68100321875
1610,163243.275073406
1611,186804.75126533778
1612,240832.05394320632
1613,228472.6566551617
1614,133972.32015795668
1615,109799.61946713785
1616,77258.81416438955
1617,114406.25122038017
1618,166550.22634206034
1619,181076.82054694556
1620,170953.3381300342
1621,148952.19760546638
1622,134261.685752091
1623,210124.66472270267
1624,183655.46931832616
1625,126208.27550771032
1626,207600.19467388542
1627,173586.69754376737
1628,201109.5563795531
1629,151342.33848132516
1630,248102.5523112826
1631,219963.10019556544
1632,222475.84355270123
1633,149580.14347780432
1634,175960.1165441448
1635,151411.47766858927
1636,203195.21755407512
1637,193337.40545753113
1638,196409.6752369421
1639,232611.46192465856
1640,217487.044236371
1641,199054.93117506852
1642,180802.18492410932
1643,201561.50504821536
1644,185697.96994399655
1645,215311.84985964658
1646,183277.46522675277
1647,178961.5109461835
1648,187074.6041949433
1649,176801.57108548426
1650,158479.59026981585
1651,195110.7037584452
1652,115277.44410906604
1653,120574.9617180427
